customer_id,first_order_date,last_order_date,total_orders,total_spent,region,signup_channel,device,is_subscribed,gender,age
C0001,2023-10-17,2024-04-02,2,544968,Jakarta,Organic,Desktop,Yes,F,50
C0002,2022-04-25,2023-05-18,15,3966105,Makassar,Organic,Desktop,Yes,F,39
C0003,2022-01-26,2022-01-28,5,1311255,Yogyakarta,Email,Mobile,Yes,M,23
C0004,2022-10-09,2023-11-12,3,714495,Makassar,Email,Desktop,Yes,M,33
C0005,2022-09-08,2023-06-06,1,275750,Bandung,Referral,Mobile,No,F,37
C0006,2022-08-17,2023-11-25,1,286810,Medan,Google Ads,Tablet,No,F,32
C0007,2022-05-23,2023-03-11,1,245806,Yogyakarta,Organic,Desktop,Yes,F,30
C0008,2022-04-15,2023-06-22,10,2786870,Yogyakarta,Google Ads,Desktop,Yes,F,27
C0009,2023-11-24,2025-11-06,5,742615,Yogyakarta,Google Ads,Mobile,Yes,M,19
C0010,2023-07-13,2025-07-30,5,847380,Yogyakarta,Email,Desktop,No,F,20
C0011,2022-03-31,2023-10-21,1,92019,Makassar,Referral,Desktop,Yes,F,33
C0012,2023-08-28,2025-07-05,15,2379195,Yogyakarta,Instagram,Tablet,No,M,48
C0013,2023-03-09,2025-03-13,7,2085062,Surabaya,Referral,Desktop,No,F,22
C0014,2022-02-02,2023-06-15,1,161672,Medan,Referral,Tablet,No,M,47
C0015,2022-01-31,2022-07-08,1,148847,Yogyakarta,Google Ads,Mobile,Yes,F,44
C0016,2022-04-06,2022-10-17,1,157750,Medan,Referral,Desktop,No,F,30
C0017,2022-08-12,2023-06-11,2,571412,Surabaya,Organic,Tablet,Yes,M,42
C0018,2022-08-27,2023-04-06,3,309753,Surabaya,Google Ads,Mobile,No,M,49
C0019,2023-06-02,2023-07-31,2,356962,Medan,Organic,Desktop,Yes,F,43
C0020,2023-09-09,2025-04-24,2,375132,Jakarta,Instagram,Mobile,No,F,33
C0021,2022-01-28,2024-02-20,5,504725,Bandung,Google Ads,Desktop,Yes,F,27
C0022,2023-07-29,2025-02-03,1,165852,Jakarta,Instagram,Mobile,No,M,18
C0023,2022-07-23,2022-09-23,2,214434,Jakarta,Google Ads,Mobile,Yes,F,24
C0024,2023-10-28,2025-12-01,2,166616,Makassar,Email,Tablet,Yes,M,45
C0025,2023-12-20,2024-11-05,3,242847,Jakarta,Referral,Mobile,Yes,M,32
C0026,2023-07-13,2023-09-09,7,1806434,Yogyakarta,Email,Desktop,Yes,F,29
C0027,2023-03-06,2023-04-26,1,207222,Makassar,Instagram,Desktop,No,M,47
C0028,2022-08-14,2024-04-03,3,886656,Makassar,Referral,Tablet,No,F,21
C0029,2023-04-05,2024-08-05,3,525705,Surabaya,Google Ads,Desktop,Yes,F,33
C0030,2023-08-27,2025-01-22,1,149740,Jakarta,Referral,Desktop,No,F,25
C0031,2022-10-12,2024-04-07,5,956760,Surabaya,Organic,Desktop,Yes,F,47
C0032,2022-01-07,2022-06-17,1,141617,Medan,Referral,Mobile,Yes,F,26
C0033,2022-06-13,2022-08-10,1,91896,Bandung,Organic,Mobile,No,M,47
C0034,2023-12-16,2025-05-19,10,2057980,Makassar,Referral,Desktop,Yes,M,38
C0035,2023-03-09,2023-05-30,15,3783705,Medan,Organic,Tablet,Yes,F,46
C0036,2022-12-15,2023-06-23,7,1497139,Medan,Instagram,Mobile,No,F,50
C0037,2022-10-12,2022-12-21,2,160474,Yogyakarta,Email,Tablet,Yes,M,45
C0038,2022-06-09,2024-02-08,1,95056,Bandung,Google Ads,Desktop,Yes,M,46
C0039,2022-08-09,2022-10-17,5,1258075,Medan,Referral,Desktop,Yes,M,28
C0040,2022-12-11,2024-11-01,2,525256,Medan,Email,Mobile,Yes,M,48
